# 路径规划结果
# 总步数: 251
# 地图分辨率: 0.05 m/pixel
# 格式: 像素坐标(x,y) -> 世界坐标(world_x, world_y)

   1. 像素(1075,  125) -> 世界(   5.395,   11.681)
   2. 像素(1074,  126) -> 世界(   5.345,   11.631)
   3. 像素(1073,  127) -> 世界(   5.295,   11.581)
   4. 像素(1072,  128) -> 世界(   5.245,   11.531)
   5. 像素(1071,  129) -> 世界(   5.195,   11.481)
   6. 像素(1070,  130) -> 世界(   5.145,   11.431)
   7. 像素(1069,  131) -> 世界(   5.095,   11.381)
   8. 像素(1068,  132) -> 世界(   5.045,   11.331)
   9. 像素(1067,  133) -> 世界(   4.995,   11.281)
  10. 像素(1066,  134) -> 世界(   4.945,   11.231)
  11. 像素(1065,  135) -> 世界(   4.895,   11.181)
  12. 像素(1064,  136) -> 世界(   4.845,   11.131)
  13. 像素(1063,  137) -> 世界(   4.795,   11.081)
  14. 像素(1062,  138) -> 世界(   4.745,   11.031)
  15. 像素(1061,  139) -> 世界(   4.695,   10.981)
  16. 像素(1060,  140) -> 世界(   4.645,   10.931)
  17. 像素(1059,  141) -> 世界(   4.595,   10.881)
  18. 像素(1058,  142) -> 世界(   4.545,   10.831)
  19. 像素(1057,  143) -> 世界(   4.495,   10.781)
  20. 像素(1056,  144) -> 世界(   4.445,   10.731)
  21. 像素(1055,  145) -> 世界(   4.395,   10.681)
  22. 像素(1054,  146) -> 世界(   4.345,   10.631)
  23. 像素(1053,  147) -> 世界(   4.295,   10.581)
  24. 像素(1052,  148) -> 世界(   4.245,   10.531)
  25. 像素(1051,  149) -> 世界(   4.195,   10.481)
  26. 像素(1050,  150) -> 世界(   4.145,   10.431)
  27. 像素(1049,  151) -> 世界(   4.095,   10.381)
  28. 像素(1048,  152) -> 世界(   4.045,   10.331)
  29. 像素(1047,  153) -> 世界(   3.995,   10.281)
  30. 像素(1046,  154) -> 世界(   3.945,   10.231)
  31. 像素(1045,  155) -> 世界(   3.895,   10.181)
  32. 像素(1044,  156) -> 世界(   3.845,   10.131)
  33. 像素(1043,  157) -> 世界(   3.795,   10.081)
  34. 像素(1042,  158) -> 世界(   3.745,   10.031)
  35. 像素(1041,  159) -> 世界(   3.695,    9.981)
  36. 像素(1040,  160) -> 世界(   3.645,    9.931)
  37. 像素(1039,  161) -> 世界(   3.595,    9.881)
  38. 像素(1038,  162) -> 世界(   3.545,    9.831)
  39. 像素(1037,  163) -> 世界(   3.495,    9.781)
  40. 像素(1036,  164) -> 世界(   3.445,    9.731)
  41. 像素(1035,  165) -> 世界(   3.395,    9.681)
  42. 像素(1034,  166) -> 世界(   3.345,    9.631)
  43. 像素(1033,  167) -> 世界(   3.295,    9.581)
  44. 像素(1032,  168) -> 世界(   3.245,    9.531)
  45. 像素(1031,  169) -> 世界(   3.195,    9.481)
  46. 像素(1030,  170) -> 世界(   3.145,    9.431)
  47. 像素(1029,  171) -> 世界(   3.095,    9.381)
  48. 像素(1028,  172) -> 世界(   3.045,    9.331)
  49. 像素(1027,  173) -> 世界(   2.995,    9.281)
  50. 像素(1026,  174) -> 世界(   2.945,    9.231)
  51. 像素(1025,  175) -> 世界(   2.895,    9.181)
  52. 像素(1024,  176) -> 世界(   2.845,    9.131)
  53. 像素(1023,  177) -> 世界(   2.795,    9.081)
  54. 像素(1022,  178) -> 世界(   2.745,    9.031)
  55. 像素(1021,  179) -> 世界(   2.695,    8.981)
  56. 像素(1020,  180) -> 世界(   2.645,    8.931)
  57. 像素(1019,  181) -> 世界(   2.595,    8.881)
  58. 像素(1018,  182) -> 世界(   2.545,    8.831)
  59. 像素(1017,  183) -> 世界(   2.495,    8.781)
  60. 像素(1016,  184) -> 世界(   2.445,    8.731)
  61. 像素(1015,  185) -> 世界(   2.395,    8.681)
  62. 像素(1014,  186) -> 世界(   2.345,    8.631)
  63. 像素(1013,  187) -> 世界(   2.295,    8.581)
  64. 像素(1012,  188) -> 世界(   2.245,    8.531)
  65. 像素(1011,  188) -> 世界(   2.195,    8.531)
  66. 像素(1010,  188) -> 世界(   2.145,    8.531)
  67. 像素(1009,  188) -> 世界(   2.095,    8.531)
  68. 像素(1008,  188) -> 世界(   2.045,    8.531)
  69. 像素(1007,  188) -> 世界(   1.995,    8.531)
  70. 像素(1006,  188) -> 世界(   1.945,    8.531)
  71. 像素(1005,  188) -> 世界(   1.895,    8.531)
  72. 像素(1004,  188) -> 世界(   1.845,    8.531)
  73. 像素(1003,  188) -> 世界(   1.795,    8.531)
  74. 像素(1002,  188) -> 世界(   1.745,    8.531)
  75. 像素(1001,  188) -> 世界(   1.695,    8.531)
  76. 像素(1000,  188) -> 世界(   1.645,    8.531)
  77. 像素( 999,  188) -> 世界(   1.595,    8.531)
  78. 像素( 998,  188) -> 世界(   1.545,    8.531)
  79. 像素( 997,  188) -> 世界(   1.495,    8.531)
  80. 像素( 996,  188) -> 世界(   1.445,    8.531)
  81. 像素( 995,  188) -> 世界(   1.395,    8.531)
  82. 像素( 994,  188) -> 世界(   1.345,    8.531)
  83. 像素( 993,  188) -> 世界(   1.295,    8.531)
  84. 像素( 992,  188) -> 世界(   1.245,    8.531)
  85. 像素( 991,  188) -> 世界(   1.195,    8.531)
  86. 像素( 990,  188) -> 世界(   1.145,    8.531)
  87. 像素( 989,  188) -> 世界(   1.095,    8.531)
  88. 像素( 988,  188) -> 世界(   1.045,    8.531)
  89. 像素( 987,  188) -> 世界(   0.995,    8.531)
  90. 像素( 986,  188) -> 世界(   0.945,    8.531)
  91. 像素( 985,  188) -> 世界(   0.895,    8.531)
  92. 像素( 984,  188) -> 世界(   0.845,    8.531)
  93. 像素( 983,  188) -> 世界(   0.795,    8.531)
  94. 像素( 982,  188) -> 世界(   0.745,    8.531)
  95. 像素( 981,  188) -> 世界(   0.695,    8.531)
  96. 像素( 980,  188) -> 世界(   0.645,    8.531)
  97. 像素( 979,  188) -> 世界(   0.595,    8.531)
  98. 像素( 978,  188) -> 世界(   0.545,    8.531)
  99. 像素( 977,  188) -> 世界(   0.495,    8.531)
 100. 像素( 976,  188) -> 世界(   0.445,    8.531)
 101. 像素( 975,  188) -> 世界(   0.395,    8.531)
 102. 像素( 974,  188) -> 世界(   0.345,    8.531)
 103. 像素( 973,  188) -> 世界(   0.295,    8.531)
 104. 像素( 972,  189) -> 世界(   0.245,    8.481)
 105. 像素( 971,  190) -> 世界(   0.195,    8.431)
 106. 像素( 970,  191) -> 世界(   0.145,    8.381)
 107. 像素( 969,  192) -> 世界(   0.095,    8.331)
 108. 像素( 968,  193) -> 世界(   0.045,    8.281)
 109. 像素( 967,  194) -> 世界(  -0.005,    8.231)
 110. 像素( 966,  195) -> 世界(  -0.055,    8.181)
 111. 像素( 965,  196) -> 世界(  -0.105,    8.131)
 112. 像素( 964,  197) -> 世界(  -0.155,    8.081)
 113. 像素( 963,  198) -> 世界(  -0.205,    8.031)
 114. 像素( 962,  199) -> 世界(  -0.255,    7.981)
 115. 像素( 961,  200) -> 世界(  -0.305,    7.931)
 116. 像素( 960,  201) -> 世界(  -0.355,    7.881)
 117. 像素( 959,  202) -> 世界(  -0.405,    7.831)
 118. 像素( 958,  203) -> 世界(  -0.455,    7.781)
 119. 像素( 957,  204) -> 世界(  -0.505,    7.731)
 120. 像素( 956,  205) -> 世界(  -0.555,    7.681)
 121. 像素( 955,  206) -> 世界(  -0.605,    7.631)
 122. 像素( 954,  207) -> 世界(  -0.655,    7.581)
 123. 像素( 953,  208) -> 世界(  -0.705,    7.531)
 124. 像素( 952,  209) -> 世界(  -0.755,    7.481)
 125. 像素( 951,  210) -> 世界(  -0.805,    7.431)
 126. 像素( 950,  211) -> 世界(  -0.855,    7.381)
 127. 像素( 949,  212) -> 世界(  -0.905,    7.331)
 128. 像素( 948,  213) -> 世界(  -0.955,    7.281)
 129. 像素( 947,  214) -> 世界(  -1.005,    7.231)
 130. 像素( 946,  215) -> 世界(  -1.055,    7.181)
 131. 像素( 945,  216) -> 世界(  -1.105,    7.131)
 132. 像素( 944,  217) -> 世界(  -1.155,    7.081)
 133. 像素( 943,  218) -> 世界(  -1.205,    7.031)
 134. 像素( 942,  219) -> 世界(  -1.255,    6.981)
 135. 像素( 941,  220) -> 世界(  -1.305,    6.931)
 136. 像素( 940,  221) -> 世界(  -1.355,    6.881)
 137. 像素( 939,  222) -> 世界(  -1.405,    6.831)
 138. 像素( 938,  223) -> 世界(  -1.455,    6.781)
 139. 像素( 937,  224) -> 世界(  -1.505,    6.731)
 140. 像素( 936,  225) -> 世界(  -1.555,    6.681)
 141. 像素( 935,  225) -> 世界(  -1.605,    6.681)
 142. 像素( 934,  225) -> 世界(  -1.655,    6.681)
 143. 像素( 933,  226) -> 世界(  -1.705,    6.631)
 144. 像素( 932,  226) -> 世界(  -1.755,    6.631)
 145. 像素( 931,  227) -> 世界(  -1.805,    6.581)
 146. 像素( 930,  227) -> 世界(  -1.855,    6.581)
 147. 像素( 929,  228) -> 世界(  -1.905,    6.531)
 148. 像素( 928,  228) -> 世界(  -1.955,    6.531)
 149. 像素( 927,  229) -> 世界(  -2.005,    6.481)
 150. 像素( 926,  229) -> 世界(  -2.055,    6.481)
 151. 像素( 925,  230) -> 世界(  -2.105,    6.431)
 152. 像素( 924,  230) -> 世界(  -2.155,    6.431)
 153. 像素( 923,  230) -> 世界(  -2.205,    6.431)
 154. 像素( 922,  231) -> 世界(  -2.255,    6.381)
 155. 像素( 921,  231) -> 世界(  -2.305,    6.381)
 156. 像素( 920,  232) -> 世界(  -2.355,    6.331)
 157. 像素( 919,  232) -> 世界(  -2.405,    6.331)
 158. 像素( 918,  233) -> 世界(  -2.455,    6.281)
 159. 像素( 917,  233) -> 世界(  -2.505,    6.281)
 160. 像素( 916,  234) -> 世界(  -2.555,    6.231)
 161. 像素( 915,  234) -> 世界(  -2.605,    6.231)
 162. 像素( 914,  235) -> 世界(  -2.655,    6.181)
 163. 像素( 913,  235) -> 世界(  -2.705,    6.181)
 164. 像素( 912,  235) -> 世界(  -2.755,    6.181)
 165. 像素( 911,  236) -> 世界(  -2.805,    6.131)
 166. 像素( 910,  236) -> 世界(  -2.855,    6.131)
 167. 像素( 909,  237) -> 世界(  -2.905,    6.081)
 168. 像素( 908,  237) -> 世界(  -2.955,    6.081)
 169. 像素( 907,  238) -> 世界(  -3.005,    6.031)
 170. 像素( 906,  238) -> 世界(  -3.055,    6.031)
 171. 像素( 905,  239) -> 世界(  -3.105,    5.981)
 172. 像素( 904,  239) -> 世界(  -3.155,    5.981)
 173. 像素( 903,  240) -> 世界(  -3.205,    5.931)
 174. 像素( 902,  240) -> 世界(  -3.255,    5.931)
 175. 像素( 901,  240) -> 世界(  -3.305,    5.931)
 176. 像素( 900,  241) -> 世界(  -3.355,    5.881)
 177. 像素( 899,  241) -> 世界(  -3.405,    5.881)
 178. 像素( 898,  242) -> 世界(  -3.455,    5.831)
 179. 像素( 897,  242) -> 世界(  -3.505,    5.831)
 180. 像素( 896,  243) -> 世界(  -3.555,    5.781)
 181. 像素( 895,  243) -> 世界(  -3.605,    5.781)
 182. 像素( 894,  244) -> 世界(  -3.655,    5.731)
 183. 像素( 893,  244) -> 世界(  -3.705,    5.731)
 184. 像素( 892,  245) -> 世界(  -3.755,    5.681)
 185. 像素( 891,  245) -> 世界(  -3.805,    5.681)
 186. 像素( 890,  245) -> 世界(  -3.855,    5.681)
 187. 像素( 889,  246) -> 世界(  -3.905,    5.631)
 188. 像素( 888,  246) -> 世界(  -3.955,    5.631)
 189. 像素( 887,  247) -> 世界(  -4.005,    5.581)
 190. 像素( 886,  247) -> 世界(  -4.055,    5.581)
 191. 像素( 885,  248) -> 世界(  -4.105,    5.531)
 192. 像素( 884,  248) -> 世界(  -4.155,    5.531)
 193. 像素( 883,  249) -> 世界(  -4.205,    5.481)
 194. 像素( 882,  249) -> 世界(  -4.255,    5.481)
 195. 像素( 881,  250) -> 世界(  -4.305,    5.431)
 196. 像素( 880,  250) -> 世界(  -4.355,    5.431)
 197. 像素( 879,  250) -> 世界(  -4.405,    5.431)
 198. 像素( 878,  251) -> 世界(  -4.455,    5.381)
 199. 像素( 877,  251) -> 世界(  -4.505,    5.381)
 200. 像素( 876,  252) -> 世界(  -4.555,    5.331)
 201. 像素( 875,  252) -> 世界(  -4.605,    5.331)
 202. 像素( 874,  253) -> 世界(  -4.655,    5.281)
 203. 像素( 873,  253) -> 世界(  -4.705,    5.281)
 204. 像素( 872,  254) -> 世界(  -4.755,    5.231)
 205. 像素( 871,  254) -> 世界(  -4.805,    5.231)
 206. 像素( 870,  255) -> 世界(  -4.855,    5.181)
 207. 像素( 869,  255) -> 世界(  -4.905,    5.181)
 208. 像素( 868,  255) -> 世界(  -4.955,    5.181)
 209. 像素( 867,  256) -> 世界(  -5.005,    5.131)
 210. 像素( 866,  256) -> 世界(  -5.055,    5.131)
 211. 像素( 865,  257) -> 世界(  -5.105,    5.081)
 212. 像素( 864,  257) -> 世界(  -5.155,    5.081)
 213. 像素( 863,  258) -> 世界(  -5.205,    5.031)
 214. 像素( 862,  258) -> 世界(  -5.255,    5.031)
 215. 像素( 861,  259) -> 世界(  -5.305,    4.981)
 216. 像素( 860,  259) -> 世界(  -5.355,    4.981)
 217. 像素( 859,  260) -> 世界(  -5.405,    4.931)
 218. 像素( 858,  260) -> 世界(  -5.455,    4.931)
 219. 像素( 857,  260) -> 世界(  -5.505,    4.931)
 220. 像素( 856,  261) -> 世界(  -5.555,    4.881)
 221. 像素( 855,  261) -> 世界(  -5.605,    4.881)
 222. 像素( 854,  262) -> 世界(  -5.655,    4.831)
 223. 像素( 853,  262) -> 世界(  -5.705,    4.831)
 224. 像素( 852,  263) -> 世界(  -5.755,    4.781)
 225. 像素( 851,  263) -> 世界(  -5.805,    4.781)
 226. 像素( 850,  264) -> 世界(  -5.855,    4.731)
 227. 像素( 849,  264) -> 世界(  -5.905,    4.731)
 228. 像素( 848,  265) -> 世界(  -5.955,    4.681)
 229. 像素( 847,  265) -> 世界(  -6.005,    4.681)
 230. 像素( 846,  265) -> 世界(  -6.055,    4.681)
 231. 像素( 845,  266) -> 世界(  -6.105,    4.631)
 232. 像素( 844,  266) -> 世界(  -6.155,    4.631)
 233. 像素( 843,  267) -> 世界(  -6.205,    4.581)
